uuid,file_path,text,tags,summary
7fd9ad5a-8459-4364-bbd0-fad8c7363e97,.\data\image\organized\7fd9ad5a-8459-4364-bbd0-fad8c7363e97.jpg,"아기가 먹는 양과 모유의 상황은 그때그때 다를 수 있습니다. 아기가 활동을 많이 하거나 열이 나서 수분이 더 필요할 때, 급성장기라서 더 자주 먹을 때도 있습니다. 모유에 함유된 지방의 함량은 사람마다 차이가 나기에 모든 아기에게 일괄적으로 수유 텀을 정하는 것은 현실적으로 불가능합니다. 

반응 수유가 아기의 지능 발달에 더 유리하다는 연구 결과도 있습니다. 유럽공중보건학회지에 실린 연구에 따르면, 수유 텀을 지킨 아기와 먹고 싶을 때 먹은 아기의 지능을 비교한 결과, 먹고 싶을 때 먹은 아기의 지능 점수가 더 높았다고 합니다. 물론 이 연구가 부모의 특성을 충분히 고려했는지는 따져봐야겠지만, 엄마가 주는 대로 먹느냐 아기가 주도적으로 먹느냐에 따라 주도적인 성격 형성과 학습에의 적극성, IQ에 영향을 미쳤을 수 있다는 설명은 납득할 만합니다. 

자세한 내용이 궁금하다면 관련 서적을 참고하면 좋겠습니다.","육아, 수유, 아기 발달, 연구 결과, 지능 발달","1. 요약:
아기의 수유량과 모유의 상황은 개인차가 있으며, 아기의 필요에 따라 달라질 수 있다. 반응 수유가 아기의 지능 발달에 긍정적인 영향을 미칠 수 있다는 연구 결과도 있다.

2. 주요 포인트:
   - 아기의 수유량은 활동량이나 성장 상황에 따라 다름.
   - 모유의 지방 함량은 개인마다 차이가 있어 일괄적인 수유 텀 설정이 어려움.
   - 반응 수유가 아기의 지능 점수에 긍정적인 영향을 미칠 수 있음."
9b3865f7-d9f0-4a55-ada0-31683ada605c,.\data\image\organized\9b3865f7-d9f0-4a55-ada0-31683ada605c.jpg,제발 그냥 먹지 마세요. 반드시 씻어 먹어야 하는 의외의 과일은 껍질을 까서 먹는 과일은 대부분 씻지 않고 먹는 경우가 많습니다. 그러나 무심코 생각 없이 그냥 먹었다가는 과일에 남아 있는 농약을 그대로 먹게 될 수 있습니다. 씻어서 먹어야 하지만 그동안 모르고 먹었던 이 과일은 무엇일까요? 오늘 헬프TV에서 알려드립니다. 바나나. 보통 바나나를 상온에 보관하다가 바로 껍질을 까서 먹는 경우가 많습니다. 하지만 바나나는 씻어서 먹는 것이 좋습니다. 바나나는 재배 과정에서 농약이 사용될 수 있기 때문입니다.,[],"1. 요약: 바나나는 농약이 남아 있을 수 있어 씻어서 먹는 것이 좋다.
2. 주요 포인트:
   - 바나나는 껍질을 까서 먹기 전에 반드시 씻어야 한다.
   - 재배 과정에서 농약이 사용될 수 있다.
   - 무심코 그냥 먹으면 농약을 섭취할 위험이 있다."
e90ae27e-26cf-428f-a727-9fd632781b7d,.\data\image\organized\e90ae27e-26cf-428f-a727-9fd632781b7d.jpg,"골반둔근 1우측 하지를 몸 앞쪽에 구부리고 좌측은 뒤로 쭉 뻗어서 둔부부터 뒤꿈치까지 일직선을 만듭니다. 손끝을 바닥에 내리고 허리를 곧게 핀 채로 내려가는데, 이때 등이 펴지는 지점까지만 숙입니다. 천천히 다시 올라오고 양쪽을 한 번씩 돌아가면서 수행합니다.",[],"1. 요약: 골반둔근 스트레칭 운동 설명.
2. 주요 포인트:
   - 우측 하지를 구부리고 좌측은 뒤로 뻗음
   - 손끝을 바닥에 내리고 허리는 곧게 유지
   - 천천히 숙였다가 다시 올라오는 동작 반복"
18a1581d-a9d8-4095-aa27-929a6f2b8dc5,.\data\image\organized\18a1581d-a9d8-4095-aa27-929a6f2b8dc5.jpg,골반둔근 1우측 하지를 몸 앞쪽에 자로 구부려서 가져오고 좌측은 뒤로 쭉 뻗어서 둔부부터 뒤꿈치까지 일직선으로 만들어줍니다. 손끝을 바닥에 내리고 허리를 곧게 핀 채로 내려가는데 이때 등이 펴지는 지점까지만 숙입니다. 천천히 다시 올라오고 양쪽을 한 번씩 돌아가면서 수행합니다.,[],"1. 요약:
   - 골반둔근 스트레칭 운동의 방법 설명.

2. 주요 포인트:
   - 우측 하지를 몸 앞쪽으로 구부림.
   - 좌측 하지는 뒤로 뻗어 일직선 유지.
   - 손끝을 바닥에 대고 허리는 곧게 펴서 숙임."
a413f162-6970-4ef8-8306-c6c769c2f5fe,.\data\image\organized\a413f162-6970-4ef8-8306-c6c769c2f5fe.jpg,햄스트링 매트 중앙에 누운 후 양쪽 하지를 천장 쪽으로 끌어올립니다. 오른쪽 햄스트링에서 양손으로 깍지를 껴줍니다. 왼 다리를 지면에서 10cm가량 띄워질 만큼 내렸다가 올려줍니다. Up down 합니다. 왼쪽도 동일하게 합니다.,[],"1. 요약: 햄스트링 운동 방법 설명.
2. 주요 포인트:
   - 매트 중앙에 누워 양쪽 다리를 천장 쪽으로 올림.
   - 오른쪽 햄스트링을 양손으로 잡고 왼 다리를 10cm 높이에서 반복적으로 올리고 내림.
   - 왼쪽 다리에도 동일한 동작 수행."
cf184157-518b-43c8-93d5-52671fd5c114,.\data\image\organized\cf184157-518b-43c8-93d5-52671fd5c114.jpg,햄스트링 매트 중앙에 누운 후 양쪽 하지를 천장 쪽으로 끌어올립니다. 오른쪽 햄스트링에서 양손으로 깍지를 껍니다. 왼 다리를 지면에서 10cm가량 띄워질 만큼 내렸다가 올려줍니다. Up down 합니다. 왼쪽도 동일하게 합니다.,['운동 발달'],"1. 요약:
   햄스트링 운동을 위한 자세 및 동작 설명.

2. 주요 포인트:
   - 매트 중앙에 누워 양쪽 하지를 천장으로 끌어올림.
   - 오른쪽 햄스트링을 잡고 왼 다리를 10cm 띄워서 업다운 운동.
   - 왼쪽도 동일한 방식으로 수행."
2bced57d-04d8-4fef-8d70-095c270248b4,.\data\image\organized\2bced57d-04d8-4fef-8d70-095c270248b4.jpg,일반적으로 의료 기관에서는 심각한 상태가 아니라면 교정 운동을 하거나 치료를 합니다. 그와 함께 직접 자극 전달을 해주며 마사지를 하고 스트레칭과 비슷한 효과를 전달할 수 있게 적극적인 도움을 주면 회복에 긍정적일 수 있습니다. 혹시 통증이 오래되지 않은 상태라면 처음 오래 한 자세를 유지하는 것을 막기 위해 1시간에 1번 정도는 어깨와 목을 풀어주면서 긴장도를 낮춰줄 수 있도록 거북목 교정 스트레칭을 하는 것도 도움이 될 수 있습니다. 또한 평소 자세에 대해 의식하며 허리를 펴주고 목이 앞으로 나오지 않도록 조심하며 자세를 바꾸는 것도 증상이 더 나빠지는 것을 막는 데 도움이 될 수 있습니다.,"건강 관리, 자세 교정, 운동 치료","1. 요약:
   의료 기관에서는 심각하지 않은 경우 교정 운동, 치료, 마사지, 스트레칭 등을 통해 회복을 지원한다.

2. 주요 포인트:
   - 통증이 오래되지 않은 경우 1시간마다 어깨와 목을 풀어주는 스트레칭이 도움됨.
   - 평소 자세를 의식하고 허리와 목 자세를 유지하는 것이 중요.
   - 적극적인 도움을 통해 회복에 긍정적인 효과를 기대할 수 있음."
dfeb43da-4ce8-4412-9723-0fa07a2acad3,.\data\image\organized\dfeb43da-4ce8-4412-9723-0fa07a2acad3.jpg,"어깨 뭉친 근육 풀어주는 스트레칭: 1. 매트 중앙에 바르게 엎드린다. 2. 한쪽 팔을 뻗어서 어깨 옆으로 내리고, 반대쪽 무릎을 구부려서 손으로 발등이나 발목을 잡는다. 3. 그 상태로 뻗은 쪽 손 방향으로 다리를 넘겨주고, 발끝을 올릴 수 있는 만큼 높게 올려서 가능하면 발끝과 손끝을 가까이 붙인다. 4. 호흡하며 지탱한다. 5. 천천히 원위치로 돌아온다. 6. 좌우 번갈아가면서 진행한다.",['스트레칭'],"1. 요약: 어깨 근육을 풀어주는 스트레칭 방법 설명
2. 주요 포인트:
   - 매트 중앙에 엎드린 후 한쪽 팔을 뻗는다.
   - 반대쪽 무릎을 구부려 발을 잡고, 뻗은 쪽으로 다리를 넘긴다.
   - 발끝과 손끝을 가까이 붙이며 호흡을 지탱하고, 좌우 번갈아 진행한다."
7cb0248c-1270-4ac5-98af-619bb3e229ba,.\data\image\organized\7cb0248c-1270-4ac5-98af-619bb3e229ba.jpg,햄스트링 매트 중앙에 누운 후 양쪽 하지를 천장 쪽으로 끌어올립니다. 오른쪽 햄스트링에서 양손으로 깍지를 껴서 왼 다리를 지면에서 10cm가량 띄워질 만큼 내렸다가 올려줍니다. Up down 합니다. 왼쪽도 동일하게 합니다.,[],"1. 요약: 햄스트링 운동을 위한 매트에서의 동작 설명.
2. 주요 포인트:
   - 매트 중앙에 누워 양쪽 하지를 천장 쪽으로 끌어올림
   - 오른쪽 햄스트링을 사용해 왼 다리를 지면에서 약 10cm 올렸다 내렸다 함
   - 왼쪽도 동일한 방식으로 수행"
a2baadb2-6755-4591-ac16-321290c33374,.\data\image\organized\a2baadb2-6755-4591-ac16-321290c33374.jpg,"오늘은 미숙아 기준과 조건에 대해 살펴보고 응급 상황에 대처하는 방법 그리고 미숙아 지원금 소득 기준까지 알아보는 시간 가져보도록 하겠습니다. 일반적으로 분만 예정일을 가리킬 때에는 임신 주수로 40주에 해당될 때를 말하죠. 병원에서는 37주부터 42주 이내 출생한 아기들을 만삭아라 지칭하기도 하는데, 이 시기에 태어난 신생아들은 대부분 신체 기능이 정상적으로 발달된 상태로 출생 후 외부 환경에도 잘 적응할 수가 있습니다.",[],"1. 요약: 미숙아 기준 및 조건, 응급 상황 대처 방법, 미숙아 지원금 소득 기준에 대해 설명.
2. 주요 포인트:
   - 분만 예정일은 임신 40주 기준.
   - 37주에서 42주 사이 출생 아기는 만삭아로 분류.
   - 만삭아는 신체 기능이 정상적으로 발달되어 외부 환경에 잘 적응 가능."
eed3c162-411b-44f8-a8df-9d082baa86e4,.\data\image\organized\eed3c162-411b-44f8-a8df-9d082baa86e4.jpg,식빵 테두리 부분은 잘라낸 후 밀대로 얇게 밀어 펴주세요. 밀어 편 식빵 위에 슬라이스 치즈를 한 장 올려주고 끝부분부터 돌돌 말아주세요. 베이컨을 말아놓은 식빵을 감싸면서 사선으로 말아줍니다. 그러면 식빵이 풀어지지 않고 고정이 되겠지요. 그리고 달걀물에 퐁당 담궈 달걀옷을 골고루 입혀 주세요. 달군 팬에 버터를 한 숟가락 넣고 식빵을 올려 지져줍니다. 완성된 베이컨말이 샌드위치입니다.,"식사 준비, 요리법","1. 요약: 식빵에 치즈와 베이컨을 넣어 말고, 달걀물에 담가 팬에 구워 베이컨말이 샌드위치를 만든다.
2. 주요 포인트:
   - 식빵 테두리 제거 후 얇게 밀기
   - 슬라이스 치즈와 베이컨을 넣고 말기
   - 달걀물에 담궈 팬에서 구워 완성"
